无名肿毒	55 71 169 275 295 395 649 657
大便溏	50
小便不利	267 556 709 773
咽喉痛	554
四肢拘急	13 201 703
流泪	120 171
心烦,烦躁	138 175 182 548
慢惊	124 138 175 360 426
四肢拘急	13 201 703
腹满,短气,恶风	55 107 169 201 272 561 610 649 785
头痛	107 158 201 341 435 543 561
慢惊	33 55 399 583 698
咳嗽	23 698
头痛	299 561
头痛	3 32 299 381
头痛	32 59 247
弄舌	657 698
弄舌	479
角弓反张	53 299
潮热	138 260 266 460 792
噎膈	78 87 119 142 159 168 170 239 243 358 397 455 646 794
心烦	35 104 138 227 332 342 423 754
积滞	159 182 252 302 358 369 443 479 562 590 754 794
口渴,食欲不振	330 486 557 760
头痛	21 32 83 138 159 175 247 381 464 703 794
腹痛	423 561
鼻衄	37
鼻塞,咳嗽	59 138 147 256 368 556 703 709 734
吞酸,胁痛,咽干	242 247 297 792
急惊,疳积,积滞	299 426 479 590 649
咳嗽	168 252 419 423 465
头痛	35 131 138 423 557 612 677 729 751 758
角弓反张	295
呕吐	595
呕吐	207 369
头晕	451
小便不利,自汗	507
浮肿	319
腹痛	182
浮肿,头昏	159 170 182
便血	182 368
崩漏,白带	32 120 247 256 260 278 369 374
恶心,腹痛	159 182 369 381 454 486 557 584 595 677 716 760
目昏	561 794
胸痛	19 70 110 184 222 273 355 610 704 749 754 810
浮肿,头昏	13 19 88 110 138 184 222 326 369 380 610 714 754 804
恶心,呕吐	41 138 174 247 315 400 423 433 507 557 780
恶心,呕吐	35 78 138 142 159 170 184 222 341 369 423 521 539 557 610 677 694 703 754 794
崩漏,白带	32 120 247 256 260 278 369 374
无名肿毒	132 169 252 295 547 649
吞酸	43 87 369 397 479 508 754
目昏	561 794
胁痛	38 492 769
牙痛	55 306 657
无名肿毒	144 191 557
无名肿毒	132 169 252 295 547 649
无名肿毒	55 132 484 547 621 649 698 710
无名肿毒	55 124 132 169 252 295 547 754
牙痛	55 306 657
牙痛	55 630 698 804
发黄	29 32 138 443 557 636 746
耳聋	32 176 208 326 381 510
无名肿毒	53 55 102 124 132 169 175 275 295 299 426 444 649 698 801
气喘,腹满,丹毒,大便秘结,呕吐,积滞,咳嗽,自汗	252 358 423 646
咳嗽	252 358 423 754
浮肿,牙痛	132 218 649
发黄	221
瘰疬	55 370 395
牙痛	83 175 381 454
慢惊	169 299 478
咳嗽	23 52 147 423 557 679 734
咳嗽	52
耳聋	753
神昏,慢惊	53 169 272 299 478 515 561 649 753
胁痛,肠鸣,腹痛	38 159 369 492 610 664 754 760 794
潮热,寒热往来	138 159 260 443 746
浮肿,呕吐,咳嗽	67 138 426
呕吐	43 88 182 422
气喘,盗汗,痫,吐血,咳嗽,寒热往来	124 147 201 256 479 703 734
咽喉痛	119 138 299 426 627
口噤,四肢强直	3
小儿鹅口,小儿重舌	55 138 701
腹冷	35 182 247 369 422 423 557 754
赤白带,不孕,白带	252 395 444 479
积滞	87 182 252 369 397 417 479 508 561 590 618 646 686 701 754
角弓反张,瘫痪,痫,项强,口噤,头痛	44 124 218 295 399 426 435 561 583 649 698
瘫痪	169 218 247 295 418 435 627 649 806
心烦,五心烦热	83 98 138 419 423 557 687 698 742
壮热,慢惊	55 107 168 207 208 369 465 544 561 649 698 785 789
气喘,吐血,咳嗽	275 361 610 649 754 785
无名肿毒	169 479 590 610 754
痄腮	147 167 169 295 479 595 649 664 694 703 712 734
无名肿毒	169 252 295 479 590 610 649 704 754
身痛,赤白带,牙痛,白带	55 169 175 252 399 479 610 618 649
发狂	21 398 735 809
健忘	138 278 281 342 423 460 792
头痛	32 83 175 176 247
身重	35 147 443 595 703 734 794
臂痛	35 138 159 360 557 595 703 712 794
身重,足痛	744
口渴	266 374 400 804
恶寒	330 804
腹痛	369 370
小便不利,目昏	557 706
瘰疬	40 395 769
咳嗽	703
小便不通	21 672
麻疹,腹痛	260 374 443
闭经,头痛,头晕	52 174 247 269 728
转筋,少气,呕吐,手足厥冷,自汗	88 182 370 561 698
寒战	444 649 698 753
小便不利	423 504 507 557
气喘,咽肿	267 557 565 773 792
咳嗽	138 242 282 327 386 396 557 565 792
鼻干,咳痰,咳嗽	281 758
呕吐	561 703
杨梅疮	138 191 557
身重	35 147 443 595 703 734 794
痫	124
白带	557
壮热,恶寒	23 332 554
短气	504 507 652
粉刺	147 328 621 734
难产	381
呕吐	561 703
小便不利	267 556 709 773
痫	33 517 583
粉刺	147 328 621 734
咳嗽	18 29 52 147 282 443 734
咳嗽	52 138 147 534 703 729 734
咳嗽	52
浮肿	29 52 138 147 327 443 534 636 729 734
咳嗽	52 140 147 377 535 559 734
咳嗽	23 52 147 423 557 679 734
咳嗽	52
咳嗽	52 59
崩漏	667
腰痛	315 317 439 451 561
烦躁	71 138 168 557 592 792
足痛	32 35 83 138 260 266 278 315 423 561 589 712
瘰疬	168 208 415 789
杨梅疮	420 554
瘫痪,恶风	138 360
目昏	247
舌肿	247
舌肿	14 21
胎漏	182 278
呕吐	35 138 159 368 423 557 694 703 751 758
自汗	330 486 557 760
小便不通	138 243 330 486 592 672 773
脱肛	23 107 124 201 462 561 703 769
足热,恶心,呕吐	59 717
牙龈肿痛	156 249 271
吐血	284 342 421 562 792 794
腹泻	13 19 64 88 184 326 375 484 630
头痛	35 59 83 138 192 247 260 282 423 677 769
痫	32 35 59 138 243 247 423 612 677 703
神昏,恶心,头重,潮热	35 59 138 159 271 423 463 557 677 716
身痛,恶寒,口渴,咳嗽	29 138 159 174 433 463 545 557 595 636 677 716 717
寒热往来	32 88 138 247 260 374 398 423 545 557 798 809
恶寒	138 341 423 539 557 561 595 677 703 729
舌苔白,恶寒,无汗,头痛	138 282 612 703 729 754 769 794
浮肿,心悸,短气,恶心,自汗	138 159 243 278 342 478 557 703 798
发狂	59 131 138 243 342 562 612 703 751
吐血	284 342 421 562 792 794
无名肿毒	53 55 169 295 299 426 649
头痛	52 138 247 281 374 423 545 758
短气,腰痛,头痛,咳嗽	32 35 88 138 247 260 278 374 423 551 557 561 703 758
腹痛	138 247 260 342 374 423 557 608 760
拳毛倒睫	3 32 83 381 433 554 629 712 727
盗汗	35 107 138 247 260 266 278 374 400 423 557 561 788 798
足热,腹痛	147 182 252 254 557 561 734 746
吞酸,恶心,呕吐,口苦	35 78 138 142 159 170 184 222 341 358 369 381 423 521 539 610 677 694 703 754 794
心烦,五心烦热,舌干,口苦	32 88 138 247 256 260 311 374 423 534 545 557 561 703 746 754 798
目昏,恶寒	32 35 138 182 247 260 315 374 423 561 706
恶心,恶寒,呕吐,恶寒发热	35 138 369 423
呕吐	138 182 184 247 369 423 433 443 557 595 703 706 722 746
呃逆	159 369 440 751
麻疹	17 23
不孕	104 108 113 278 342 451 452 498 551 557 561 610 725 798
短气,恶心	18 23 138 175 182 252 282 396 423 435 460 557 600 679 703 706 804
短气,头重	71 182 252 254 342 423 443 554 672 703 758
舌干,腰重,头昏	35 138 184 423 557 722
咳嗽	561 798
赤白带,白带	43 145 278 299 398 507 536 557 561 706 758 794 809
盗汗,咳嗽	138 192 247 260 282 311 396 423 534 545 557 589 712 746 754 798
小便不通	88 507 557 561 760 792
恶风,自汗	18 32 83 138 247 260 557
小便不利	88 236 486 561 760
恶心,呕吐,寒热往来	32 35 38 138 247 374 423 492 557 746 794
畏寒	35 138 557
舌干,口苦	50 423 557 561
吐血	138 247 260 282 423 751
吐血	32 138 423 557 703
恶心	50 59 83 423 703 753 762
盗汗,烦躁	138 282 342 423 557 608 746 751 758
谵语	138 247 278 423 557 604
恶风	138 423 557 753
呕吐	59 90 184 222 341 423 469 557 677 703
